Date/time: 01:44:40.410 PM 13-Aug-2019
seed,818
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.65
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,School_id,school-type,school-x-cor,school-y-cor,all-pupils,Value-Added,GCSE-score,App-ratio,max-distance_y7,max-distance_y11,max-distance_unallocated,mean-distance_y7,mean-distance_y11,mean-distance_unallocated,mean-aspiration_y7,mean-aspiration_y11,mean-aspiration_unallocated,mean-attainment_y7,mean-attainment_y11,parents_rank1_y7,parents_rank2_y7,parents_rank3_y7,parents_rank4_y7,parents_rank5_y7,parents_rank6_y7,parents_unranked_y7,success-aspiration_y7,success-attainment_y11,parents_avoiding_y7,parents_moved_y7,mean-attainment_change_y11,count-attainment_change+_y11,count-attainment_change-_y11,parents_strategy1_y7,parents_strategy2_y7,parents_strategy3_y7,parents_strategy4_y7,parents_strategy5_y7,parents_strategy6_y7,parents_strategy7_y7,parents_strategy8_y7
0,3,state,22,11,0,0.05,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,4,state,-1,-36,0,0.25,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,1,state,34,-6,0,0.16,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,9,state,-26,-32,0,0.07,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,7,state,11,33,0,0.01,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,2,state,16,9,0,0.09,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,6,state,-21,-50,0,0.09,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,5,state,27,-33,0,0.28,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,8,state,4,-11,0,0.19,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,state,-26,-22,0,0.06,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
1,2,state,16,9,100,0.09,1,0,68.15,-1,-1,20.11,-1,-1,58.19,-1,-1,46.32,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,3,state,22,11,100,0.05,1,0,76.53,-1,-1,31,-1,-1,56.28,-1,-1,43.66,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,5,state,27,-33,100,0.28,1,0,16.03,-1,-1,10.89,-1,-1,51.91,-1,-1,46.21,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,1,state,34,-6,100,0.16,1,0,16.12,-1,-1,10.49,-1,-1,52.69,-1,-1,43.79,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,4,state,-1,-36,100,0.25,1,0,29.68,-1,-1,13.4,-1,-1,53.45,-1,-1,46.67,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,9,state,-26,-32,100,0.07,1,0,60.46,-1,-1,17.66,-1,-1,53.29,-1,-1,41.84,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,8,state,4,-11,100,0.19,1,0,14.42,-1,-1,9.36,-1,-1,56.67,-1,-1,47.86,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,6,state,-21,-50,100,0.09,1,0,45.35,-1,-1,14.8,-1,-1,56.65,-1,-1,45.13,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,0,state,-26,-22,100,0.06,1,0,62.97,-1,-1,14.35,-1,-1,56.01,-1,-1,43.67,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,7,state,11,33,100,0.01,1,0,28.07,-1,-1,13.15,-1,-1,54.75,-1,-1,41.26,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,7,state,11,33,200,0.01,1,0,20.62,-1,-1,12.12,-1,-1,55.93,-1,-1,52.47,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,0,state,-26,-22,200,0.06,1,0,55.76,-1,-1,15.24,-1,-1,55.23,-1,-1,53.99,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,4,state,-1,-36,200,0.25,1,0,22.47,-1,-1,11.46,-1,-1,57.47,-1,-1,61.85,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,3,state,22,11,200,0.05,1,0,78.52,-1,-1,32.86,-1,-1,58.78,-1,-1,56.52,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,6,state,-21,-50,200,0.09,1,0,40.05,-1,-1,14.74,-1,-1,55.59,-1,-1,55.57,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,1,state,34,-6,200,0.16,1,0,20.62,-1,-1,11.56,-1,-1,56.67,-1,-1,58.05,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,9,state,-26,-32,200,0.07,1,0,61.03,-1,-1,18.73,-1,-1,58.56,-1,-1,56.44,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,8,state,4,-11,200,0.19,1,0,15.81,-1,-1,10.1,-1,-1,54.95,-1,-1,58.37,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,5,state,27,-33,200,0.28,1,0,14.32,-1,-1,9.33,-1,-1,59.01,-1,-1,64.09,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,2,state,16,9,200,0.09,1,0,73.16,-1,-1,30.67,-1,-1,57.42,-1,-1,57.29,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
3,2,state,16,9,300,0.09,1,0,73.11,-1,-1,30.89,-1,-1,54.93,-1,-1,57.32,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,36,0,0,0,64,0,0
3,9,state,-26,-32,300,0.07,1,0,44.94,-1,-1,16.34,-1,-1,52.94,-1,-1,54.4,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,40,0,0,0,60,0,0
3,7,state,11,33,300,0.01,1,0,26.57,-1,-1,13.08,-1,-1,54.76,-1,-1,53.42,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,40,0,0,0,60,0,0
3,3,state,22,11,300,0.05,1,0,78.01,-1,-1,33.05,-1,-1,57.9,-1,-1,57.98,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,58,0,0,0,42,0,0
3,1,state,34,-6,300,0.16,1,0,17.03,-1,-1,10.47,-1,-1,55.86,-1,-1,59.87,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,17,0,0,0,83,0,0
