Date/time: 01:44:40.414 PM 13-Aug-2019
seed,818
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.65
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14.191876319306388,6.029293718428137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27.560487532714696,12.324263046547387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.088111455983324,18.80087779515268,2.072,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,54.628646820613575,25.454576393232557,4.684,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,68.23232497469556,31.987446588758267,5.771,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,68.57300334946214,32.42991974379986,5.998,7.950000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,68.82794351592237,32.74203268129852,5.997,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,68.76753325527,30.196679687657713,5.992999999999999,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
