Date/time: 12:27:38.459 PM 14-Aug-2019
seed,506
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.018000000000000002,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.011999999999999999,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.703497856417624,5.687087081294676,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24.584356037058463,10.664647512971026,0.313,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,36.56853655676822,16.709345312945132,1.335,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,48.252365770827225,22.475190346181307,3.127,7.0200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60.1696275909704,28.205356276178293,4.7410000000000005,7.7700000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,60.43641595614059,27.72863484851476,5.723000000000001,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,60.53012998248977,27.051237986376165,5.694000000000001,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
